fips,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state,hud_area_code,countyname,pop,state_alpha,metro
100199999,581,696,825,1043,1436,1,METRO33860M33860,Autauga County,54571,AL,1
100399999,756,773,888,1252,1501,1,METRO19300M19300,Baldwin County,182265,AL,1
100599999,500,503,666,838,941,1,NCNTY01005N01005,Barbour County,27457,AL,0
100799999,706,763,873,1154,1282,1,METRO13820M13820,Bibb County,22915,AL,1
100999999,706,763,873,1154,1282,1,METRO13820M13820,Blount County,57322,AL,1
101199999,492,501,628,832,887,1,NCNTY01011N01011,Bullock County,10914,AL,0
101399999,473,476,628,814,1103,1,NCNTY01013N01013,Butler County,20947,AL,0
101599999,457,513,676,886,1031,1,METRO11500M11500,Calhoun County,118572,AL,1
101799999,467,579,691,868,958,1,NCNTY01017N01017,Chambers County,34215,AL,0
101999999,472,475,628,846,849,1,NCNTY01019N01019,Cherokee County,25989,AL,0
102199999,517,549,628,908,1103,1,METRO13820N01021,Chilton County,43643,AL,1
102399999,498,501,663,831,937,1,NCNTY01023N01023,Choctaw County,13859,AL,0
102599999,492,538,628,908,927,1,NCNTY01025N01025,Clarke County,25833,AL,0
102799999,535,549,628,908,1103,1,NCNTY01027N01027,Clay County,13932,AL,0
102999999,472,475,628,824,1103,1,NCNTY01029N01029,Cleburne County,14972,AL,0
103199999,555,558,680,983,1194,1,NCNTY01031N01031,Coffee County,49948,AL,0
103399999,531,534,675,888,1130,1,METRO22520M22520,Colbert County,54428,AL,1
103599999,474,478,628,884,887,1,NCNTY01035N01035,Conecuh County,13228,AL,0
103799999,508,511,676,857,955,1,NCNTY01037N01037,Coosa County,11539,AL,0
103999999,485,488,628,842,1093,1,NCNTY01039N01039,Covington County,37765,AL,0
104199999,472,475,628,787,966,1,NCNTY01041N01041,Crenshaw County,13906,AL,0
104399999,497,535,662,892,895,1,NCNTY01043N01043,Cullman County,80406,AL,0
104599999,477,501,629,850,1105,1,NCNTY01045N01045,Dale County,50251,AL,0
104799999,507,524,628,812,890,1,NCNTY01047N01047,Dallas County,43820,AL,0
