fips,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state,hud_area_code,hud_area_name,countyname,pop,state_alpha,metro
100199999,640,766,908,1148,1520,1,METRO33860M33860,"Montgomery, AL MSA",Autauga County,55035,AL,1
100399999,718,723,922,1249,1584,1,METRO19300M19300,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,203360,AL,1
100599999,488,492,648,806,907,1,NCNTY01005N01005,"Barbour County, AL",Barbour County,26200,AL,0
100799999,817,871,1002,1303,1409,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,22580,AL,1
100999999,817,871,1002,1303,1409,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,57665,AL,1
101199999,532,549,705,877,1034,1,NCNTY01011N01011,"Bullock County, AL",Bullock County,10480,AL,0
101399999,479,556,634,789,930,1,NCNTY01013N01013,"Butler County, AL",Butler County,20125,AL,0
101599999,482,549,723,944,1094,1,METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",Calhoun County,115525,AL,1
101799999,534,620,744,956,1046,1,NCNTY01017N01017,"Chambers County, AL",Chambers County,33895,AL,0
101999999,479,481,634,877,880,1,NCNTY01019N01019,"Cherokee County, AL",Cherokee County,25855,AL,0
102199999,595,625,713,1020,1061,1,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",Chilton County,43805,AL,1
102399999,479,481,634,789,910,1,NCNTY01023N01023,"Choctaw County, AL",Choctaw County,13190,AL,0
102599999,479,493,634,907,930,1,NCNTY01025N01025,"Clarke County, AL",Clarke County,24625,AL,0
102799999,479,556,634,868,1060,1,NCNTY01027N01027,"Clay County, AL",Clay County,13405,AL,0
102999999,479,481,634,892,968,1,NCNTY01029N01029,"Cleburne County, AL",Cleburne County,14940,AL,0
103199999,522,551,692,990,1184,1,NCNTY01031N01031,"Coffee County, AL",Coffee County,51075,AL,0
103399999,525,580,748,943,1213,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",Colbert County,54435,AL,1
103599999,479,532,634,907,930,1,NCNTY01035N01035,"Conecuh County, AL",Conecuh County,12650,AL,0
103799999,520,523,689,857,1011,1,NCNTY01037N01037,"Coosa County, AL",Coosa County,10955,AL,0
103999999,479,499,634,846,1044,1,NCNTY01039N01039,"Covington County, AL",Covington County,37520,AL,0
104199999,479,481,634,789,930,1,NCNTY01041N01041,"Crenshaw County, AL",Crenshaw County,13865,AL,0
104399999,494,541,665,898,902,1,NCNTY01043N01043,"Cullman County, AL",Cullman County,81705,AL,0
104599999,523,526,634,890,1098,1,NCNTY01045N01045,"Dale County, AL",Dale County,49395,AL,0
104799999,492,498,646,804,876,1,NCNTY01047N01047,"Dallas County, AL",Dallas County,40755,AL,0
104999999,418,492,634,852,936,1,NCNTY01049N01049,"DeKalb County, AL",DeKalb County,71195,AL,0
105199999,640,766,908,1148,1520,1,METRO33860M33860,"Montgomery, AL MSA",Elmore County,80990,AL,1
105399999,479,537,634,809,991,1,NCNTY01053N01053,"Escambia County, AL",Escambia County,37620,AL,0
105599999,557,560,717,902,1002,1,METRO23460M23460,"Gadsden, AL MSA",Etowah County,103130,AL,1
105799999,479,556,634,802,930,1,NCNTY01057N01057,"Fayette County, AL",Fayette County,16655,AL,0
105999999,479,539,634,796,1043,1,NCNTY01059N01059,"Franklin County, AL",Franklin County,31505,AL,0
