,,,,,,,,,,,,,,,,,,,,,,,,,Supplemental (just get from EPA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,Florida,,County_Name,Niche_Rank,Count_Person,Median_Income_Person,Median_Age_Person,Death,Prevalence: Obesity (Percent),Prevalence: Physical Inactivity (Percent),Prevalence: Sleep Less Than 7 Hours (Percent),Prevalence: Diabetes (Percent),Smoking,Obesity,Physical Inactivity,Excessive Drinking,Percent of People With Dental Care,Count of People With Educational Attainment Less Than High School,Count of People With Educational Attainment of Bachelors Degree or Higher,Std Deviation of Cohort Scale Achievement of Student,Unemployment Rate,"Count of Household: Family Household, Below Poverty Level in The Past 12 Months",Gender Income Inequality,Lifetime Cancer Risk,Air Quality Index,Palmer Drought Severity Index,Standardized Precipitation Evapotranspiration Index,Standardized Precipitation Index,Prevalence: Sleep Less Than 7 Hours,Count of Housing Unit,Count of Housing Unit: Vacant Housing Unit,Count of Housing Unit: Occupied Housing Unit,Count of People With Health Insurance,Population Without Health Insurance,Reading Scores,Math Scores,Single-Parent Households,Social Associations,Drinking Water Violations,Housing Problems,Driving to Work,Long Commute,Public Transportation,Primary Care,Poor or Fair Health,Poor Physical Health Days,Food Environment Index,Access to Exercise Oppurtunities,STI/STD,Preventative Hospital Stays,Mammography Screening,,,"Count of Housing Unit: With Mortgage, 0 USD","Count of Housing Unit: Without Mortgage, 0 USD","Count of Housing Unit: With Mortgage, 800 USD or Less","Count of Housing Unit: Without Mortgage, 800 USD or Less","Count of Housing Unit: With Mortgage, 800 - 1,499 USD","Count of Housing Unit: Without Mortgage, 800 - 1,499 USD","Count of Housing Unit: With Mortgage, 1,500 - 1,999 USD","Count of Housing Unit: Without Mortgage, 1,500 - 1,999 USD","Count of Housing Unit: With Mortgage, 2,000 - 2,999 USD","Count of Housing Unit: Without Mortgage, 2,000 - 2,999 USD","Count of Housing Unit: With Mortgage, 3,000 USD or More","Count of Housing Unit: Without Mortgage, 3,000 USD or More",Count of Housing Unit: 100 USD or Less,Count of Housing Unit: 100 - 149 USD,Count of Housing Unit: 150 - 199 USD,Count of Housing Unit: 200 - 249 USD,Count of Housing Unit: 250 - 299 USD,Count of Housing Unit: 300 - 349 USD,Count of Housing Unit: 350 - 399 USD,Count of Housing Unit: 400 - 449 USD,Count of Housing Unit: 450 - 499 USD,Count of Housing Unit: 500 - 549 USD,Count of Housing Unit: 550 - 599 USD,Count of Housing Unit: 600 - 649 USD,Count of Housing Unit: 650 - 699 USD,Count of Housing Unit: 700 - 749 USD,Count of Housing Unit: 750 - 799 USD,Count of Housing Unit: 800 - 899 USD,Count of Housing Unit: 900 - 999 USD,"Count of Housing Unit: 1,000 - 1,249 USD","Count of Housing Unit: 1,250 - 1,499 USD","Count of Housing Unit: 1,500 - 1,999 USD","Count of Housing Unit: 2,000 - 2,499 USD","Count of Housing Unit: 2,500 - 2,999 USD","Count of Housing Unit: 3,000 - 3,499 USD","Count of Housing Unit: 3,500 USD or More",Median Gross Rent of Housing Unit: With Cash Rent,"Count of Housing Unit: 10,000 USD or Less","Count of Housing Unit: 10,000 - 14,999 USD","Count of Housing Unit: 15,000 - 19,999 USD","Count of Housing Unit: 20,000 - 24,999 USD","Count of Housing Unit: 25,000 - 29,999 USD","Count of Housing Unit: 30,000 - 34,999 USD","Count of Housing Unit: 35,000 - 39,999 USD","Count of Housing Unit: 40,000 - 49,999 USD","Count of Housing Unit: 50,000 - 59,999 USD","Count of Housing Unit: 60,000 - 69,999 USD","Count of Housing Unit: 70,000 - 79,999 USD","Count of Housing Unit: 80,000 - 89,999 USD","Count of Housing Unit: 90,000 - 99,999 USD","Count of Housing Unit: 100,000 - 124,999 USD","Count of Housing Unit: 125,000 - 149,999 USD","Count of Housing Unit: 150,000 - 174,999 USD","Count of Housing Unit: 175,000 - 199,999 USD","Count of Housing Unit: 200,000 - 249,999 USD","Count of Housing Unit: 250,000 - 299,999 USD","Count of Housing Unit: 300,000 - 399,999 USD","Count of Housing Unit: 400,000 - 499,999 USD","Count of Housing Unit: 400,000 - 499,999 USD","Count of Housing Unit: 750,000 - 999,999 USD","Count of Housing Unit: 1,000,000 - 1,499,999 USD","Count of Housing Unit: 1,500,000 - 1,999,999 USD","Count of Housing Unit: 2,000,000 USD or More",
,geoId/12,geoId/12001,Alachua County,3,279238,28515,32.1,1940,31.9,24.5,32.9,10.5,16.4,31.9,24.5,15.6,56.6,11583,76720,1.022042209,3.3,4868.548,0.10396492,38.00717799,31,-2.76,-0.2,0.1512104173,32.9,121832,16829,105003,251373,22470,,,,,,,,,,,,,,,,,,,,809,1174,2621,3925,5919,5453,3757,2782,6691,4467,12843,7443,35,64,33,267,338,274,220,207,299,835,817,1206,1532,1709,2024,4957,4335,10598,5854,6290,2231,570,107,479,1082,421,371,303,230,256,124,366,670,941,1062,1393,1390,1522,4165,3984,5713,4175,8582,6624,7768,3548,3548,557,535,109,177,#ERROR!
,,geoId/12003,Baker County,55,28715,31469,37,270,38,29.4,37.7,10.4,24.8,38,29.4,17.1,51,2687,2878,0.8461707782,3.1,642.09,0.19120074,35.39619946,29,-2.76,0.15,0.5170564927,37.7,9772,1240,8532,22089,2759,,,,,,,,,,,,,,,,,,,,97,371,946,1295,975,491,683,173,638,230,379,268,0,11,0,0,40,11,41,15,7,2,16,152,151,268,3,285,231,231,232,80,0,0,0,75,873,48,60,79,110,37,108,74,300,374,221,150,189,231,528,253,573,732,774,541,786,185,185,23,0,78,0,
,,geoId/12005,Bay County,28,179168,31505,40.8,2060,31.1,27.2,35,10.2,20.8,31.1,27.2,16.7,55.5,12820,33073,0.8712117196,2.9,4367.272,0.22289996,32.57691934,31,-1.72,1.91,-1.568478245,35,102883,30002,72881,151780,24804,,,,,,,,,,,,,,,,,,,,1462,2318,5784,7780,7234,4506,4193,2198,5127,2612,3707,2457,0,8,0,136,118,104,105,60,93,194,451,313,606,594,710,1639,2186,5141,3797,4717,1019,159,225,100,1191,925,352,258,254,371,355,218,864,869,752,1135,1429,1083,3286,3034,5134,2988,6977,6491,6918,3054,3054,652,252,55,172,
,,geoId/12007,Bradford County,62,28540,26265,39.1,344,38.3,32.5,40,12.3,26.1,38.3,32.5,16,45.1,3665,2396,0.8283790623,3.4,681.174,0.09162393,34.754547,,-2.76,-0.07,0.7193699655,40,10753,1786,8967,21212,2863,,,,,,,,,,,,,,,,,,,,99,286,794,1750,970,856,207,153,350,134,275,168,0,0,161,9,9,7,33,164,49,92,127,22,138,145,224,296,301,542,159,127,2,0,19,0,845,28,176,37,225,112,77,63,60,127,258,624,305,305,578,484,753,366,426,234,417,202,202,24,32,0,0,
,,geoId/12009,Brevard County,7,616628,31695,47,7611,33,23.7,34.6,9.6,16.8,33,23.7,16.4,60.7,33648,141951,0.8657219557,3.2,11007.792,0.23353947,28.77996425,36,-2.05,-0.68,0.8940638179,34.6,286497,43840,242657,535347,61081,,,,,,,,,,,,,,,,,,,,2727,4865,13977,17217,25609,17868,14127,9090,21048,13310,28233,16783,14,59,124,317,301,247,294,468,494,515,846,615,778,1593,1525,4276,5176,13457,8914,10775,2971,839,457,154,1185,2068,1288,980,954,1018,933,601,1569,1917,2013,2702,3382,3150,9856,10766,15617,14514,26920,24769,27699,14687,14687,3267,1439,395,539,
,,geoId/12011,Broward County,18,1930983,32956,40.7,15443,30.6,26.9,37.8,10.7,15.8,30.6,26.9,14.5,59.6,137900,471290,0.9393758297,3,43607.728,0.15471392,30.21106186,6,-2.33,0.18,-0.1483260741,37.8,854965,122501,732464,1649033,273943,,,,,,,,,,,,,,,,,,,,7871,9728,16878,28647,32902,33501,23490,15282,41783,27823,151697,69637,59,244,366,1327,979,726,869,572,717,734,901,1122,1315,1301,2752,6838,11463,45937,54288,77712,36509,11696,4220,3406,1503,4055,2040,1994,1832,1520,2077,2016,3571,4966,7236,7025,7366,6090,18926,15859,25038,20631,48785,48884,89898,58655,58655,15047,8257,2736,3892,
,,geoId/12013,Calhoun County,41,13641,23546,41.7,187,37.1,31,39.3,11.6,25.6,37.1,31,16.7,46.4,2267,1017,0.8173862657,3.6,274.417,0.22244134,38.89219206,,-1.72,1.85,-1.052130469,39.3,5704,1209,4495,9784,2205,,,,,,,,,,,,,,,,,,,,35,407,540,1319,379,244,92,153,108,106,60,122,0,0,0,37,0,80,0,57,50,101,62,72,1,24,29,37,47,36,20,34,0,2,0,0,566,68,45,65,133,215,69,112,300,174,193,142,138,73,442,121,433,153,368,11,89,67,67,11,6,0,23,
,,geoId/12015,Charlotte County,40,194843,29711,59.7,2741,30,25.6,34.4,8.6,19.7,30,25.6,16.9,60.5,12677,37650,0.8561522566,3.6,4086.064,0.17552013,30.16036754,,-2.12,-3.06,-0.390271499,34.4,108667,25912,82755,162622,18901,,,,,,,,,,,,,,,,,,,,579,1646,2308,3862,6577,8731,5482,5053,6577,6654,9679,10788,0,25,14,84,159,219,49,204,150,72,224,482,139,580,521,1191,1742,2856,1832,2164,621,95,165,260,1094,695,401,471,161,325,337,146,703,550,1034,931,1511,1844,4209,3888,6220,5162,10072,9756,8908,4663,4663,1468,454,92,223,
,,geoId/12017,Citrus County,52,158083,26736,56.8,2584,31.6,27.1,38,9.2,23.4,31.6,27.1,18,52.9,12231,23478,0.8296372715,4.6,4283.358,0.21205337,33.79094785,27,-2.76,-2.1,-0.4354656369,38,81099,15256,65843,132826,16857,,,,,,,,,,,,,,,,,,,,789,2713,7982,11804,6456,6886,2905,3159,3844,3944,2107,2516,0,18,33,105,87,34,186,178,226,179,322,503,625,514,615,1117,1061,2314,865,678,110,7,0,0,914,665,287,824,615,469,944,509,1446,1917,1579,2136,2115,1878,5142,5026,5706,3586,6047,4895,5543,2083,2083,218,63,0,132,
